name,is_active
Afghanistan,1
Albania,1
Algeria,1
Andorra,1
Angola,1
Antigua and Barbuda,1
Argentina,1
Armenia,1
Austria,1
Azerbaijan,1
Bahrain,1
Bangladesh,1
Barbados,1
Belarus,1
Belgium,1
Belize,1
Benin,1
Bhutan,1
Bolivia,1
Bosnia and Herzegovina,1
Botswana,1
Brazil,1
Brunei,1
Bulgaria,1
Burkina Faso,1
Burundi,1
Cabo Verde,1
Cambodia,1
Cameroon,1
Canada,1
Central African Republic,1
Chad,1
Channel Islands,1
Chile,1
China,1
Colombia,1
Comoros,1
Congo,1
Costa Rica,1
Côte d'Ivoire,1
Croatia,1
Cuba,1
Cyprus,1
Czech Republic,1
Denmark,1
Djibouti,1
Dominica,1
Dominican Republic,1
DR Congo,1
Ecuador,1
Egypt,1
El Salvador,1
Equatorial Guinea,1
Eritrea,1
Estonia,1
Eswatini,1
Ethiopia,1
Faeroe Islands,1
Finland,1
France,1
French Guiana,1
Gabon,1
Gambia,1
Georgia,1
Germany,1
Ghana,1
Gibraltar,1
Greece,1
Grenada,1
Guatemala,1
Guinea,1
Guinea-Bissau,1
Guyana,1
Haiti,1
Holy See,1
Honduras,1
Hong Kong,1
Hungary,1
Iceland,1
India,1
Indonesia,1
Iran,1
Iraq,1
Ireland,1
Isle of Man,1
Israel,1
Italy,1
Jamaica,1
Japan,1
Jordan,1
Kazakhstan,1
Kenya,1
Kuwait,1
Kyrgyzstan,1
Laos,1
Latvia,1
Lebanon,1
Lesotho,1
Liberia,1
Libya,1
Liechtenstein,1
Lithuania,1
Luxembourg,1
Macao,1
Madagascar,1
Malawi,1
Malaysia,1
Maldives,1
Mali,1
Malta,1
Mauritania,1
Mauritius,1
Mayotte,1
Mexico,1
Moldova,1
Monaco,1
Mongolia,1
Montenegro,1
Morocco,1
Mozambique,1
Myanmar,1
Namibia,1
Nepal,1
Netherlands,1
Nicaragua,1
Niger,1
Nigeria,1
North Korea,1
North Macedonia,1
Norway,1
Oman,1
Pakistan,1
Panama,1
Paraguay,1
Peru,1
Philippines,1
Poland,1
Portugal,1
Qatar,1
Réunion,1
Romania,1
Russia,1
Rwanda,1
Saint Helena,1
Saint Kitts and Nevis,1
Saint Lucia,1
Saint Vincent and the Grenadines,1
San Marino,1
Sao Tome & Principe,1
Saudi Arabia,1
Senegal,1
Serbia,1
Seychelles,1
Sierra Leone,1
Singapore,1
Slovakia,1
Slovenia,1
Somalia,1
South Africa,1
South Korea,1
South Sudan,1
Spain,1
Sri Lanka,1
State of Palestine,1
Sudan,1
Suriname,1
Sweden,1
Switzerland,1
Syria,1
Taiwan,1
Tajikistan,1
Tanzania,1
Thailand,1
The Bahamas,1
Timor-Leste,1
Togo,1
Trinidad and Tobago,1
Tunisia,1
Turkey,1
Turkmenistan,1
Uganda,1
Ukraine,1
United Arab Emirates,1
United Kingdom,1
United States,1
Uruguay,1
Uzbekistan,1
Venezuela,1
Vietnam,1
Western Sahara,1
Yemen,1
Zambia,1
Zimbabwe,1
